,customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name
0,OA832399,XXXX,C01,F,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
1,PL270116,XXXXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
2,OA974876,XXXXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
3,HD024127,XXXXX,C01,F,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
4,HD661448,XXXXX,C03,F,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
5,IK271057,XXXXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
6,HI324666,XXXXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
7,AS647421,XXXXX,C01,F,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
8,AS069821,XXXXXX,C03,F,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
9,GD039425,XXXXX,C01,F,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
10,OA789036,XXXXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
11,AS058623,XXXXX,C01,F,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
12,AS857207,XXXXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
13,AS625883,XXXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
14,HD782984,XXXXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
15,HI804186,XXXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
16,AS732240,XXXXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
17,PL834411,XXXXX,C03,F,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
18,HD516059,XXX,C03,M,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
19,HD194702,XXXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
20,IK102369,XXXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
21,AS183155,XXXXX,C03,F,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
22,HI339146,XXXXX,C01,F,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
23,AS476267,XXXXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
24,PL928545,XXXXXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
25,OA372777,XXXXX,C03,M,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
26,PL765022,XXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
27,OA803393,XXXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
28,OA071756,XXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
29,HI598974,XXX,C03,M,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
30,GD214739,XXXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
31,OA557824,XXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
32,IK098074,XX,C01,F,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
33,HD792156,XXXX,C01,F,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
34,OA478509,XXXX,C02,M,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
35,HI388582,XX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
36,TS210661,XXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
37,TS837282,XXXXXX,C01,F,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
38,OA758157,XXXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
39,OA790739,XXXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
40,AS734592,XX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
41,GD022268,XXX,C02,M,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
42,IK059803,XXXXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
43,TS487207,XX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
44,OA994859,XXXXX,C01,F,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
45,PL221419,XXXX,C02,M,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
46,HI570349,XXXXX,C01,F,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
47,TS945284,XXX,C03,M,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
48,PL152568,XXXXX,C03,F,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
49,GD967749,XXXX,C01,F,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
50,HI635742,XXXXXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
51,AS970810,XXXXX,C03,F,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
52,GD163149,XXXXX,C03,M,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
53,HD124700,XXXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
54,HD349501,XX,C01,F,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
55,GD126553,XXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
56,AS926104,XXXX,C03,F,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
57,GD360440,XXXXXX,C03,M,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
58,IK701555,XXXXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
59,AS777651,XXXXX,C01,M,2015-05-01 00:00:00,,CA1,0,0_종일,10500,2_일반
60,PL241896,XXXX,C03,F,2015-05-01 00:00:00,,CA1,0,2_야간,6000,2_일반
61,PL920046,XXXXX,C02,F,2015-05-01 00:00:00,,CA1,0,1_주간,7500,2_일반
62,PL367795,XXXX,C01,F,2015-06-01 00:00:00,,CA1,0,0_종일,10500,2_일반
63,HI324110,XXXXX,C01,M,2015-06-01 00:00:00,,CA1,0,0_종일,10500,2_일반
64,OA630902,XXXX,C03,M,2015-06-01 00:00:00,,CA1,0,2_야간,6000,2_일반
65,GD292781,XXXX,C02,F,2015-06-01 00:00:00,,CA1,0,1_주간,7500,2_일반
66,PL912172,XXXXXX,C03,M,2015-06-01 00:00:00,,CA1,0,2_야간,6000,2_일반
67,HI582217,XXXXX,C01,M,2015-06-01 00:00:00,,CA1,0,0_종일,10500,2_일반
68,TS038130,XXXXX,C03,M,2015-06-01 00:00:00,,CA1,0,2_야간,6000,2_일반
69,TS200932,XXX,C01,F,2015-06-01 00:00:00,,CA1,0,0_종일,10500,2_일반
70,GD728611,XXXXX,C02,F,2015-06-01 00:00:00,,CA1,0,1_주간,7500,2_일반
71,HI525851,XXXXXX,C03,M,2015-06-01 00:00:00,,CA1,0,2_야간,6000,2_일반
72,PL540895,XXX,C03,M,2015-06-01 00:00:00,,CA1,0,2_야간,6000,2_일반
73,PL410964,XXXXX,C01,M,2015-06-01 00:00:00,,CA1,0,0_종일,10500,2_일반
